place_id,name,description,is_spending_on_ads,reviews,rating,competitors,website,phone,can_claim,owner_name,owner_profile_link,featured_image,main_category,categories,workday_timing,is_temporarily_closed,closed_on,address,review_keywords,link,query
ChIJhePJ5yVHvDsRG0skhy3eJJw,Ocean View Residency,,,269,4.7,,,096201 36677,,Ocean View Residency (Owner),https://www.google.com/maps/contrib/105935998839596519311,https://lh3.ggpht.com/p/AF1QipOrWPcZ4hp0lcZZu4INsIIgkcmu05DuZi_W71Sa=s1024,Home Stay,Home Stay,,,Open All Days,"Beach Road, Matadahitlu, Murdeshwar, Karnataka 581350","beach, clean rooms, parking, hot water, budget, cooperative, distance, hygiene, walking, room service",https://www.google.com/maps/place/Ocean+View+Residency/data=!4m7!3m6!1s0x3bbc4725e7c9e385:0x9c24de2d87244b1b!8m2!3d14.0906533!4d74.4893847!16s%2Fg%2F11vk880fmr!19sChIJhePJ5yVHvDsRG0skhy3eJJw?authuser=0&hl=en&rclk=1,home stay in murudeshwar
ChIJHY-NiA5BvDsRUXAxRF-kblU,Hill View Home stay MURDESHWAR,,,26,5,,,099860 27593,,Hill View Home stay MURDESHWAR (Owner),https://www.google.com/maps/contrib/104782285869606254757,https://lh3.ggpht.com/p/AF1QipP_qbERUkexqSQ1xZC04AAopitumq-suhl11_bu=s1024,Home Stay,Home Stay,,,Open All Days,"SHIVANUGRAHA,Konarkeri, Uttarkoppa Road, Murdeshwar, Karnataka 581421","property, nature, floor, morning, kitchen, trip",https://www.google.com/maps/place/Hill+View+Home+stay+MURDESHWAR/data=!4m7!3m6!1s0x3bbc410e888d8f1d:0x556ea45f44317051!8m2!3d14.0955391!4d74.5113438!16s%2Fg%2F11lz4c2js9!19sChIJHY-NiA5BvDsRUXAxRF-kblU?authuser=0&hl=en&rclk=1,home stay in murudeshwar
ChIJk36y4SdHvDsRn1kmUx76S8s,Mavalli Beach Heritage Home,,,224,4.1,,https://mavallibeachheritage.in/,099017 67993,,Mavalli Beach Heritage Home (Owner),https://www.google.com/maps/contrib/113949953430961127298,https://lh3.ggpht.com/p/AF1QipOrfdYKYh4M5f9PsUqksMZy3gBo_bsnxkSHze07=s1024,Home Stay,"Home Stay, Hotel",,,Open All Days,"Beach Heritage Home, 1, Murudeshwar Temple Hwy, Hiredomi, Mavalli, Murdeshwar, Karnataka 581350","hospitality, balcony, antique, sea, resort, money, suite, furniture, lord shiva, comfortable",https://www.google.com/maps/place/Mavalli+Beach+Heritage+Home/data=!4m7!3m6!1s0x3bbc4727e1b27e93:0xcb4bfa1e5326599f!8m2!3d14.1039667!4d74.4880776!16s%2Fg%2F1hm64vx5m!19sChIJk36y4SdHvDsRn1kmUx76S8s?authuser=0&hl=en&rclk=1,home stay in murudeshwar
ChIJw9WYHQBHvDsRcUeEwSkLD8M,Family home stay murdeshwar,,,16,4.7,,,,1,Family home stay murdeshwar (Owner),,https://lh3.ggpht.com/p/AG0ilSwvPuI9SlxWPN8O2ndAKUeo310X4ZgMKZ5qQUA5NIxVLjn9fVlHqGjc0dTUvVz_WH5JNBpdkHaNstgEU2s03lWn8A0lCltwCz_rxODGekzOcP5PTfGlX-XGPAnhn3dUJk9UMf20=s1024,Home Stay,Home Stay,,,Open All Days,"Bailholekatte, Mukya Prana, I 107, Kaikini, Murdeshwar, Mavalli, Karnataka 581421",silent area,https://www.google.com/maps/place/Family+home+stay+murdeshwar/data=!4m7!3m6!1s0x3bbc47001d98d5c3:0xc30f0b29c1844771!8m2!3d14.083976!4d74.499309!16s%2Fg%2F11wh0pz07n!19sChIJw9WYHQBHvDsRcUeEwSkLD8M?authuser=0&hl=en&rclk=1,home stay in murudeshwar
ChIJ22CVXgBHvDsRr__GoRs6fws,Evengel Beach home stay,,,11,4.7,,https://evengelbeachhomestay.homestaybuddy.in/,,1,Evengel Beach home stay (Owner),,https://lh3.ggpht.com/p/AG0ilSypOkC9f--bQFbrEtAbs9OgficmwWbtV61PZ2_QVSdhICGI2wIeII1nrSi-dJTnITymnB6U9ky9TgMkFuh5WrLiZhtkOaugi5hKHqNOgmeoNZ4nsFsJBWk8eXc0RruNyiVRkUfP22FYr2A=s1024,Home Stay,Home Stay,,,Open All Days,"3FQQ+CH4, Mavalli Rd, Matadahitlu, Murdeshwar, Karnataka 581350","resort, sea",https://www.google.com/maps/place/Evengel+Beach+home+stay/data=!4m7!3m6!1s0x3bbc47005e9560db:0xb7f3a1ba1c6ffaf!8m2!3d14.0885051!4d74.4889683!16s%2Fg%2F11mck3y6rs!19sChIJ22CVXgBHvDsRr__GoRs6fws?authuser=0&hl=en&rclk=1,home stay in murudeshwar
ChIJo3qdTABHvDsRtC8jt9EncS4,God's Gift homestay,,,24,4.8,,https://www.godsgifthomestay.in/,,,God's Gift homestay (Owner),https://www.google.com/maps/contrib/117360185467732843409,https://lh3.ggpht.com/p/AG0ilSx4oTICpnw84elPd2TavgLPDaUFiKDTF_mk33dIBbz5HxwdgmH2JXSqWb33J6bQm_6-J9Pzu07BHU95AUMB5rFu3MYWSYk-lYm_QIWTUD15GQ-NJ80MPQ0fH5gzZdFJw3AGpXofQg=s1024,Home Stay,Home Stay,,,Open All Days,"Matadahitlu, Murdeshwar, Karnataka 581350",hospitality,https://www.google.com/maps/place/God%27s+Gift+homestay/data=!4m7!3m6!1s0x3bbc47004c9d7aa3:0x2e7127d1b7232fb4!8m2!3d14.0838428!4d74.49311!16s%2Fg%2F11vx6b_d3d!19sChIJo3qdTABHvDsRtC8jt9EncS4?authuser=0&hl=en&rclk=1,home stay in murudeshwar
ChIJQ24jlQRHvDsRAuxYJ2YAw5s,KVK Beach Residency,,,153,4.6,,https://kvkbeachresidency.com/,094783 83833,,KVK Beach Residency (Owner),https://www.google.com/maps/contrib/102040319821490986107,https://lh3.ggpht.com/p/AF1QipOm8z4y6-C015dGSI9a2FHf0qNivnyrf_HPWftr=s1024,Home Stay,Home Stay,,,Open All Days,"3FWP+PRV, Naveen Beach Rd, Murdeshwar, Karnataka 581350","wifi, amenities, tv, service, price, clean rooms, hot water, network, sea, budget",https://www.google.com/maps/place/KVK+Beach+Residency/data=!4m7!3m6!1s0x3bbc470495236e43:0x9bc300662758ec02!8m2!3d14.0969435!4d74.4873358!16s%2Fg%2F11jyffl5rq!19sChIJQ24jlQRHvDsRAuxYJ2YAw5s?authuser=0&hl=en&rclk=1,home stay in murudeshwar
ChIJq-F0XABHvDsRFd2dcIMGQSk,Madhu Vijaya Home stay,,,16,4.8,,,,1,Madhu Vijaya Home stay (Owner),,https://lh3.ggpht.com/p/AG0ilSz3GiKExZnTxSiFONIijE6GGr-jcCqTDKO678G3orcoVT06BWhRGmPanlIJHrcq38uoYw2b0EaKvtnEVV_pIpIASvkk4J3w24Tnp7_w7wUfl4X9opRKwq2VZNHSNgDIqDsZOgWK=s1024,Home Stay,Home Stay,,,Open All Days,"3FMV+R7R, Temple Highway, Gangavati, Murdeshwar, Karnataka 581350","hospitality, hot water, AC, beach, kitchen",https://www.google.com/maps/place/Madhu+Vijaya+Home+stay/data=!4m7!3m6!1s0x3bbc47005c74e1ab:0x29410683709ddd15!8m2!3d14.0846087!4d74.4931397!16s%2Fg%2F11wjdwn1wg!19sChIJq-F0XABHvDsRFd2dcIMGQSk?authuser=0&hl=en&rclk=1,home stay in murudeshwar
ChIJpT6eOHRBvDsRXFcusX9LofM,Aryan Home Stay and Rooms,,,82,4,"Name: ARYAN RESIDENCY
Link: https://www.google.com/maps/search/ARYAN+RESIDENCY/@14.096441299999999,74.4890937?authuser=0&hl=en&entry=ttu
Reviews: 634 reviews

Name: ARYAN HIGHWAY HOME STAY
Link: https://www.google.com/maps/search/ARYAN+HIGHWAY+HOME+STAY/@14.1004393,74.5042124?authuser=0&hl=en&entry=ttu
Reviews: 46 reviews

Name: ARSIK GUEST HOUSE
Link: https://www.google.com/maps/search/ARSIK+GUEST+HOUSE/@14.0997259,74.48750129999999?authuser=0&hl=en&entry=ttu
Reviews: 16 reviews

Name: Navdurgha Home Stay
Link: https://www.google.com/maps/search/Navdurgha+Home+Stay/@14.0979436,74.4894032?authuser=0&hl=en&entry=ttu
Reviews: 7 reviews

Name: Shri Murdeshwar Home Stay
Link: https://www.google.com/maps/search/Shri+Murdeshwar+Home+Stay/@14.102393099999999,74.5041605?authuser=0&hl=en&entry=ttu
Reviews: 4 reviews",,,,Aryan Home Stay and Rooms (Owner),https://www.google.com/maps/contrib/104605842663965370949,https://lh3.ggpht.com/p/AF1QipPMmhHsVSngZ3Bw8u7dgESySOB8wVR8cquhG-zT=s1024,Lodge,Lodge,,,Open All Days,"NEAR N.H 66,BHASTIMAKKI, MURUDESHWAR, Bhatkal, Karnataka 581350","price, hot water, clean rooms, highway",https://www.google.com/maps/place/Aryan+Home+Stay+and+Rooms/data=!4m7!3m6!1s0x3bbc4174389e3ea5:0xf3a14b7fb12e575c!8m2!3d14.1083567!4d74.503195!16s%2Fg%2F11tnfkh45f!19sChIJpT6eOHRBvDsRXFcusX9LofM?authuser=0&hl=en&rclk=1,home stay in murudeshwar
ChIJUef9XiNHvDsRtLCJbi3wVhE,Kamat vaibhav homestay,,,98,4.8,,,099862 35377,,Kamat vaibhav homestay (Owner),https://www.google.com/maps/contrib/100414890664587617268,https://lh3.ggpht.com/p/AF1QipO-Vnp5Pvse8clbw5GLGnN5TTXNLmsnlAqYlVIZ=s1024,Lodge,Lodge,,,Open All Days,"Kamath Vaibhav Homestay, 1, Sonarkeri, Gangavati, Mavalli, Murdeshwar, Karnataka 581350","distance, hospitality, price, clean rooms, behaviour, trip, parking space, hygiene, management, walkable",https://www.google.com/maps/place/Kamat+vaibhav+homestay/data=!4m7!3m6!1s0x3bbc47235efde751:0x1156f02d6e89b0b4!8m2!3d14.0947567!4d74.4908992!16s%2Fg%2F11wq33ywkc!19sChIJUef9XiNHvDsRtLCJbi3wVhE?authuser=0&hl=en&rclk=1,home stay in murudeshwar
